Severity,Customer Record ID,Account Name,Case Number,Status,Date/Time Opened,Date/Time Closed,Resolution Time,Ambari Version,Stack Version,Product Component,Apache BugID URL,Hortonworks BugID URL,HOTFIX BugID URL,EAR URL,Root Cause,Enhancement Request Number,Environment
S1 - Production Down,111651480,ZUJheSBJbmM=,107611,Closed,20170101 020003.000,20170101 020744.000,0 days 0 hours8 mn,1.4.4,2.0.6,Hbase,,,,,Duplicate Case,,
S1 - Production Down,568099779,ZUJheSBJbmM=,107612,Closed,20170101 020004.000,20170101 094851.000,0 days 7 hours15 mn,1.4.4,2.0.6,Hbase,,,,,Customer Environment (Non HDP),,
S1 - Production Down,987943207,SFNCQw==,107615,Closed,20170101 074012.000,20170103 061541.000,1 days 22 hours35 mn,1.7.0,2.2.4,Hive,,,,,Customer Environment (Non HDP),,
S1 - Production Down,1004350860,VGFsYXMgRGF0YSBJbnRlbGxpZ2VuY2UsIEluYw==,107633,Closed,20170102 150813.000,20170102 194057.000,0 days 4 hours33 mn,2.2.0,2.3.2,HDFS,,,,,Education - Configuration,,
S1 - Production Down,348124977,U3ltYW50ZWM=,107637,Closed,20170102 180708.000,20170106 065125.000,3 days 0 hours11 mn,2.4.1.0,2.4.0,Hbase,,,,,Data Issue,,
S1 - Production Down,58491643,RGFyIEFsLUhhbmRhc2Fo,107652,Closed,20170103 071607.000,20170103 073309.000,0 days 0 hours17 mn,2.4.2.0,2.4.2,HDFS,,,,,Education - Configuration,,
S1 - Production Down,1483749696,RGFyIEFsLUhhbmRhc2Fo,107656,Closed,20170103 091214.000,20170103 102540.000,0 days 1 hours13 mn,2.4.2.0,2.4.2,Solr (HDFS),,,,,Education - Configuration,,
S1 - Production Down,1337845185,RDJMIENvcnBvcmF0aW9u,107733,Closed,20170103 202933.000,20170103 225953.000,0 days 2 hours30 mn,2.4.2.0,2.5.3,Oozie,,,,,Education - Configuration,,
S1 - Production Down,1679945459,Um9zcyBTdG9yZXM=,107761,Closed,20170104 002956.000,20170105 020358.000,0 days 2 hours16 mn,2.2.0,2.3.4,Hive,,,,,Customer Environment (Non HDP),,ENV-00825
S1 - Production Down,657231325,U2NobHVtYmVyZ2Vy,107776,Closed,20170104 060327.000,20170104 070857.000,0 days 1 hours4 mn,2.4.2.0,2.5.3,Hive,https://issues.apache.org/jira/browse/HIVE-12387,,,,Education - Non Configuration,,
